さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:17:53.09 ID:b5i+hQmRP<> <a href="../test/read.cgi/livefoot/1372581899/21" target="_blank">&gt;&gt;21</a> <br> ありがと <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:18:19.18 ID:J1YsPQDi0<> <a href="../test/read.cgi/livefoot/1372581899/69" target="_blank">&gt;&gt;69</a> <br> 初戦０−２で明日なき身だから <br> これでよし <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:18:34.31 ID:NNdClBV40<> <a href="../test/read.cgi/livefoot/1372581899/69" target="_blank">&gt;&gt;69</a> <br> 3点取れば休んで良し <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:18:43.80 ID:5KVPJVrO0<> <a href="../test/read.cgi/livefoot/1372581899/69" target="_blank">&gt;&gt;69</a> <br> 多分、先週の相手の思うようにボール回されてる方が疲れると思う。 <br> 今日の方が自発的に動いて良い流れになってるから疲れないんじゃないかな。 <br>  <br> しっかりボール取れてるから体力のロスが少ない。 <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:18:48.32 ID:rQscTNpl0<> <a href="../test/read.cgi/livefoot/1372581899/66" target="_blank">&gt;&gt;66</a> <br> 追加点取れば小躍りします <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:19:52.64 ID:6qW0HNvU0<> 曜はあまりコンディションよくなさそうやな <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:20:42.94 ID:4G9dEGbw0<> うひゃー <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:20:53.05 ID:kgA0MYSH0<> ぬううう <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:20:58.98 ID:FxFUjPlJ0<> 柿トラップうめー <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:20:59.70 ID:NNdClBV40<> 良いトラップでした <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:21:00.41 ID:kb+C58na0<> やっぱりエジノも神父も２列目の選手だね <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:21:05.41 ID:t/o4D3+n0<> おしいい <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:21:05.82 ID:5KVPJVrO0<> こんなにうんこさん抑えれてる試合を始めて見てる気がする。 <br> それほどうんこさんにはやられ続けて来た過去。 <br>  <br> ってか、エジノ効いてるな。 <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:21:14.03 ID:rQscTNpl0<> コーナーでもいい <br> 得点して <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:21:22.87 ID:PXKP1q3O0<> 曜一朗のいまや当たり前の神トラップからチャンスも相手クリアでck <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:22:09.06 ID:rQscTNpl0<> 今日の加藤はお笑いGK <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:23:20.57 ID:t/o4D3+n0<> エジノナイス。CKしのげ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:23:35.83 ID:5KVPJVrO0<> エジノ覚醒編が始まったのか？ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:25:56.21 ID:NNdClBV40<> 浦和は前線以外動かないなぁ <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:26:32.95 ID:fKiGf3wi0<> エジノが槙野を拓実が森脇を守備時に見る感じか <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:26:33.37 ID:5KVPJVrO0<> 山ちゃん良い潰し <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:27:12.49 ID:PXKP1q3O0<> <a href="../test/read.cgi/livefoot/1372581899/94" target="_blank">&gt;&gt;94</a> <br> 　でも次同じようなプレーしたらイエローでそうな予感 <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:28:23.29 ID:rQscTNpl0<> あぶね <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:29:02.16 ID:J1YsPQDi0<> シャケちゃんそこはもっと厳しく <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:29:18.52 ID:4G9dEGbw0<> エジいいよー <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:29:24.21 ID:5KVPJVrO0<> エジノイイヨ <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:29:39.36 ID:rQscTNpl0<> エジゴリブル <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:29:41.56 ID:fKiGf3wi0<> エジノ散髪したか <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:29:42.51 ID:2ULM8I4m0<> エジノええわ <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:30:01.47 ID:mHhoIYm+0<> エジさんナイス <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:31:00.77 ID:t/o4D3+n0<> ちょっと向こうの攻撃もつながるようになったな <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:32:56.50 ID:t/o4D3+n0<> エジノvs槙野 <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:33:48.95 ID:PXKP1q3O0<> シンプリシオvs誰？ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:33:54.86 ID:5KVPJVrO0<> これは浦和はイライラするだろうな。 <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:34:24.28 ID:4G9dEGbw0<> ぐわああああああああああああああ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:34:26.27 ID:5KVPJVrO0<> シャケ・・・・ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:34:26.54 ID:kgA0MYSH0<> なんてこったい <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:34:28.96 ID:xFR2gkiy0<> あちゃー <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:34:32.15 ID:2ULM8I4m0<> おわた <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:34:34.47 ID:PXKP1q3O0<> あああ <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:34:34.52 ID:rQscTNpl0<> うーん <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:34:37.53 ID:t/o4D3+n0<> うわー梅崎にやられた <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:34:42.69 ID:J1YsPQDi0<> シャケ・・・・ <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:34:50.72 ID:fKiGf3wi0<> 最初に抜かれた時点で終わったわ <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:34:58.43 ID:rGNM/W0+0<> 3点取ったらええねや！ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:35:06.29 ID:5KVPJVrO0<> まあ、どっちにしてもあと２点取らないと勝てないのは変わらないけどな・・・ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:35:19.24 ID:v2D7MZpK0<> さっきの審判が変なFK与えたのがおかしかっただろ <br> 買収か？ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:35:20.38 ID:jE5eJTMX0<> 良いときの梅崎は本当にいいな <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:35:36.10 ID:U4SXqCQX0<> ひょっとして、あと3点入れないと負けんの？ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:35:47.06 ID:5KVPJVrO0<> エジノ惜しい <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:35:54.20 ID:rQscTNpl0<> あと2点 <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:35:56.68 ID:t/o4D3+n0<> まああれシャケを責めたらかわいそうだわ <br> 3点とろうや <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:35:57.90 ID:rGNM/W0+0<> <a href="../test/read.cgi/livefoot/1372581899/122" target="_blank">&gt;&gt;122</a>　3-1でオケ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:35:58.35 ID:YfK/TqjK0<> 延長がなくなっただけや <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:36:04.81 ID:xFR2gkiy0<> まぁ3-0も3-1も同じだわな <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:36:05.67 ID:PXKP1q3O0<> あと２点でも勝ち抜けだよ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:36:21.69 ID:6qW0HNvU0<> 右にエジノはいったら、しゃけじゃなくてええわ <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:36:40.01 ID:kb+C58na0<> 打ち合い上等やん！ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:36:51.38 ID:5KVPJVrO0<> <a href="../test/read.cgi/livefoot/1372581899/122" target="_blank">&gt;&gt;122</a> <br> あと２点とって３−１でも勝ち抜けだよ。 <br> 浦和が今日０点のままでも３−０にしないと勝ち抜けなかったからそんなに状況は変わってない。 <br> ただ気分的なもんが違うけど。 <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:37:06.96 ID:U4SXqCQX0<> <a href="../test/read.cgi/livefoot/1372581899/126" target="_blank">&gt;&gt;126</a> <br> あと2点か。ここで流れが変わらなければ或いは。 <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:37:20.66 ID:v2D7MZpK0<> まー、延長なくなったのはお互いにいいことだなｗ <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:37:39.27 ID:t/o4D3+n0<> 梅崎にやられてるな <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:37:41.39 ID:FxFUjPlJ0<> ２点取ったらええねん！ｶﾞﾝｶﾞﾚ！ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:37:42.57 ID:Ea5uDI5u0<> どうせ3点取らないと駄目なんだし <br> きにするな！ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:38:12.97 ID:PXKP1q3O0<> それにしてもシャケｖｓ梅崎は完全に負けてるな <br> 狙われてるわ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:38:32.77 ID:6qW0HNvU0<> 梅?がすごいというか <br> しゃけが自由にやらせすぎ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:39:06.40 ID:5KVPJVrO0<> 今の完全に那須の足に当たって出ただろうが <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:39:11.87 ID:rQscTNpl0<> クルピ怒りの新井場投入来るかな <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:40:08.76 ID:dT3WuSMi0<> クルピお得意の懲罰交替？ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:40:33.19 ID:6qW0HNvU0<> <a href="../test/read.cgi/livefoot/1372581899/141" target="_blank">&gt;&gt;141</a> <br> 新井場の攻撃は期待できないからな <br> ２点いれなあかんのに、守備的選手はいれないんじゃないかな <br> 小暮やったらありかも <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:41:03.20 ID:NNdClBV40<> 酷いゴールキックを見た <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:41:56.53 ID:5KVPJVrO0<> 割とマジでファールの基準が分からん <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:42:16.61 ID:t/o4D3+n0<> <a href="../test/read.cgi/livefoot/1372581899/142" target="_blank">&gt;&gt;142</a> <br> 懲罰というかタイプが違うんだからそこをケアするというのはありでしょ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:42:46.71 ID:Z2IxnDXe0<> そｐでもどこもやってない・・・ <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:43:17.57 ID:t/o4D3+n0<> 丸イエローか <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:43:18.94 ID:rQscTNpl0<> ちょっと押されてるな <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:43:26.27 ID:4G9dEGbw0<> 柏木に上手いことやられたな <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:43:58.94 ID:PXKP1q3O0<> 気づいたらシュート数負けてるな <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:44:00.20 ID:NNdClBV40<> 丸橋もニューヒーロー将の刺客があるらしい <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:44:06.79 ID:t/o4D3+n0<> こういうところでぽかんとカウンターきまらんかな <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 18:44:11.38 ID:kb+C58na0<> 柏木が東アジアに行けばいい！ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:44:23.05 ID:HzuvY5L2O<> また柏木にしてやられたのかｗ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 18:44:38.23 ID:v2D7MZpK0<> 南野「埼スタでプレーできるの楽しみたい」 <br>  <br> うーん <>
